Period,Loan Pool Principal Due,LP Interest Due,LP Payment Due,LP Total Balance
0,0,0,0,28354374.317749992
1,309835.7972660281,392819.1071587327,702654.9044247608,28044538.520483937
2,313876.5394042276,388208.19735445484,702084.7367586824,27710005.392849725
3,317681.3807507595,383235.26663481095,700916.6473855705,27347900.25117656
4,321865.0346938342,378588.18506590865,700453.2197597428,27006782.84497719
5,325824.3781318259,373572.42534144846,699396.8034732743,26641453.449868057
6,329797.37178172916,368607.38518453576,698404.7569662649,26272177.1743568
7,334342.30196297955,364062.4550032854,698404.7569662649,25937834.87239385
8,338950.6806684219,359454.076297843,698404.7569662649,25598884.191725437
9,343623.40476405836,354781.35220220656,698404.7569662649,25255260.7869614
10,348361.3839453258,350043.3730209391,698404.7569662649,24906899.40301604
11,353165.540922704,345239.21604356094,698404.7569662649,24553733.86209332
12,358036.81161003455,340367.94535623037,698404.7569662649,24195697.050483316
13,362976.1453155989,335428.61165066605,698404.7569662649,23832720.905167744
14,367741.4472740495,330090.468162306,697831.9154363555,23442832.929845408
15,372256.94243229396,324425.41151934856,696682.3539516425,23031652.80459509
16,377122.6157338733,319046.1088421826,696168.7245760559,22639079.43324358
17,381285.12699337886,313004.48065203684,694289.6076454157,22194342.983672634
18,386549.0906096739,307740.5170357418,694289.6076454157,21807793.893062975
19,391504.8397451018,302118.2196747738,693623.0594198756,21397138.886367757
20,396697.8336742099,296551.8369539146,693249.6706281245,20989364.709324714
21,401928.93313471763,290932.4388630092,692861.3719977268,20574989.45508623
22,407481.86532257596,285379.5066751509,692861.3719977268,20167507.589763664
23,412785.6467604514,279486.83501942584,692272.4817798772,19735268.506184805
24,417716.3836041169,273186.4954706608,690902.8790747777,19273813.49791187
25,423490.77178800624,267412.10728677147,690902.8790747777,18850322.72612387
26,429061.36818923283,261315.6515434945,690377.0197327273,18403303.97757582
27,434280.7584970091,254888.8935016031,689169.6519986122,17934581.098263446
28,440040.03737613594,248651.85301521758,688691.8903913535,17479620.906214878
29,445274.9178368547,242023.2621158316,687298.1799526863,17000408.311573535
30,450888.98209431546,235605.3641556097,686494.3462499252,16525829.52552746
31,456809.0701166042,229263.0097668864,686072.0798834906,16060612.00301418
32,462081.7080869974,222461.76053366883,684543.4686206662,15561835.291069997
33,468062.4608865358,215882.91340142515,683945.3742879609,15079319.838319203
34,473391.9598034532,208864.09699111283,682256.056794566,14568950.176275725
35,479947.331369797,202308.725424769,682256.056794566,14089002.844905887
36,485722.76949631446,195319.69791436577,681042.4674106803,13577593.453026243
37,492116.0376809565,188412.74048688222,680528.7781678387,13072600.427475704
38,498212.5571666821,181347.67034890063,679560.2275155827,12555394.28994
39,505117.40047861857,174442.82703696415,679560.2275155827,12050276.889461374
40,511000.4212530996,167193.56391201998,678193.9851651195,11522436.202821055
41,517889.4355455061,160039.03689591368,677928.4724414197,10999556.797389911
42,524514.8809871485,152750.32775557652,677265.208742725,10468411.692643385
43,531268.2610603122,145319.44438396895,676587.7054442811,9925625.978957416
44,538265.7296908788,137864.69125197767,676130.4209428565,9381225.90461395
45,544640.5613770676,130029.14232206557,674669.7036991331,8812919.867638424
46,551442.7382657002,122299.95756474916,673742.6958304493,8247551.417369705
47,558037.9665705652,114495.8431974523,672533.8097680175,7677519.291935123
48,565522.0069869407,106678.92631928848,672200.9333062292,7107320.3747801995
49,572920.756481928,98769.30232373468,671690.0588056628,6529635.417312403
50,580510.4712052433,90762.78977140009,671273.2609766433,5945648.484848858
51,537694.1728668939,82471.08122619473,620165.2540930887,5392134.74387941
52,528980.3199817874,74980.64668766492,603960.9666694523,4861509.292588439
53,514538.11446356156,67632.90095650427,582171.0154200658,4346971.17812488
54,496689.67168349546,60479.64611207209,557169.3177955676,3850281.5064413776
55,469715.3817980817,53388.89122067879,523104.2730187605,3368867.5252557164
56,447558.84996396565,46776.04907897646,494334.8990429421,2915249.5880439533
57,421805.7346405291,40548.63658816226,462354.37122869137,2493443.8534034267
58,382895.32750662696,34586.14603613108,417481.47354275803,2103096.242056745
59,347352.0381047948,29262.279148089725,376614.3172528845,1755744.2039519476
60,313253.74569023796,24356.7442456166,337610.48993585457,1436923.1364531056
61,270251.5776844964,19931.563732845912,290183.14141734235,1162200.9149726543
62,227334.27415930582,16158.77215541943,243493.04631472524,933427.2773558012
63,191509.0477567777,12984.653056957113,204493.70081373482,741038.3270405505
64,169484.33491879748,10320.002775206483,179804.33769400397,571048.9965760797
65,138054.18463560255,7962.491344503949,146016.6759801065,432994.81194047723
66,117393.3277415374,6040.932477873924,123434.26021941133,315601.4841989401
67,96896.40528398854,4379.498895228503,101275.90417921705,216758.4352028311
68,78709.27441739108,3026.384075151374,81735.65849254245,137708.1821603489
69,56782.86068475332,1902.7734497168212,58685.63413447014,79593.6458832603
70,46891.88079882282,1110.8571540239889,48002.73795284681,32701.76508443754
71,32100.7275396678,445.9452652609492,32546.672804928752,2.546585164964199e-11
